drug_name,medical_condition,rating,no_of_reviews
l-methylfolate forte,depression,-1.0,0.0
protriptyline,depression,9.0,2.0
spravato,depression,5.6,57.0
surmontil,depression,0.0,1.0
thyroid desiccated,depression,-1.0,0.0
humalog,diabetes (type 1),6.8,8.0
lantus,diabetes (type 1),7.4,12.0
novolog,diabetes (type 1),5.9,10.0
insulin lispro,diabetes (type 1),3.2,49.0
insulin aspart,diabetes (type 1),6.1,14.0
lantus solostar,diabetes (type 1),1.0,1.0
lyumjev,diabetes (type 1),-1.0,0.0
insulin detemir,diabetes (type 1),5.8,7.0
levemir,diabetes (type 1),5.8,7.0
insulin aspart/insulin aspart protamine,diabetes (type 1),10.0,2.0
humalog kwikpen,diabetes (type 1),3.3,18.0
novolog flexpen,diabetes (type 1),-1.0,0.0
apidra,diabetes (type 1),-1.0,0.0
insulin glargine,diabetes (type 1),2.9,92.0
basaglar,diabetes (type 1),1.8,58.0
tresiba,diabetes (type 1),3.9,74.0
toujeo solostar,diabetes (type 1),2.3,16.0
humulin n,diabetes (type 1),10.0,1.0
humulin r,diabetes (type 1),-1.0,0.0
afrezza,diabetes (type 1),5.9,19.0
novolin r,diabetes (type 1),6.5,3.0
symlin,diabetes (type 1),10.0,3.0
humulin 70/30,diabetes (type 1),-1.0,0.0
insulin regular,diabetes (type 1),8.5,8.0
novolin n,diabetes (type 1),0.0,1.0
admelog,diabetes (type 1),2.0,17.0
fiasp,diabetes (type 1),8.3,3.0
novolin 70/30,diabetes (type 1),10.0,1.0
humalog mix 75/25,diabetes (type 1),9.0,2.0
insulin glulisine,diabetes (type 1),9.0,1.0
rezvoglar,diabetes (type 1),-1.0,0.0
semglee,diabetes (type 1),1.0,1.0
toujeo max solostar,diabetes (type 1),-1.0,0.0
humulin r u-500 (concentrated),diabetes (type 1),10.0,2.0
novolog mix 70/30,diabetes (type 1),10.0,2.0
novolog penfill,diabetes (type 1),-1.0,0.0
octreotide,diabetes (type 1),9.0,2.0
pramlintide,diabetes (type 1),10.0,5.0
"insulin inhalation, rapid acting",diabetes (type 1),5.9,19.0
insulin isophane,diabetes (type 1),10.0,4.0
novolog mix 70/30 flexpen,diabetes (type 1),-1.0,0.0
humulin n pen,diabetes (type 1),-1.0,0.0
humulin r u-500 kwikpen,diabetes (type 1),-1.0,0.0
insulin degludec,diabetes (type 1),3.9,75.0
insulin isophane / insulin regular,diabetes (type 1),9.3,3.0
myxredlin,diabetes (type 1),-1.0,0.0
humalog mix 50/50,diabetes (type 1),-1.0,0.0
humalog mix 75/25 kwikpen,diabetes (type 1),-1.0,0.0
insulin lispro/insulin lispro protamine,diabetes (type 1),9.0,2.0
symlin pen,diabetes (type 1),-1.0,0.0
symlinpen 60,diabetes (type 1),10.0,1.0
symlinpen 120,diabetes (type 1),10.0,1.0
humalog mix 50/50 kwikpen,diabetes (type 1),-1.0,0.0
humulin 50/50,diabetes (type 1),-1.0,0.0
humulin 70/30 pen,diabetes (type 1),-1.0,0.0
relion/novolin 70/30,diabetes (type 1),9.0,1.0
tzield,diabetes (type 1),-1.0,0.0
metformin,diabetes (type 2),5.9,253.0
farxiga,diabetes (type 2),4.5,125.0
trulicity,diabetes (type 2),5.1,891.0
rybelsus,diabetes (type 2),5.7,153.0
dapagliflozin,diabetes (type 2),4.6,155.0
dulaglutide,diabetes (type 2),5.2,914.0
insulin aspart,diabetes (type 2),5.7,21.0
insulin detemir,diabetes (type 2),5.7,40.0
insulin lispro,diabetes (type 2),4.4,37.0
lyumjev,diabetes (type 2),-1.0,0.0
semaglutide,diabetes (type 2),5.7,723.0
soliqua,diabetes (type 2),4.3,15.0
insulin aspart/insulin aspart protamine,diabetes (type 2),10.0,2.0
insulin glargine / lixisenatide,diabetes (type 2),4.3,15.0
januvia,diabetes (type 2),4.6,125.0
mounjaro,diabetes (type 2),5.6,42.0
victoza,diabetes (type 2),7.6,507.0
glipizide,diabetes (type 2),6.1,66.0
glimepiride,diabetes (type 2),6.6,70.0
amaryl,diabetes (type 2),7.2,20.0
invokana,diabetes (type 2),5.8,257.0
lantus,diabetes (type 2),6.2,28.0
actos,diabetes (type 2),4.9,40.0
jardiance,diabetes (type 2),5.3,278.0
levemir,diabetes (type 2),5.5,35.0
janumet,diabetes (type 2),6.0,64.0
glucotrol,diabetes (type 2),7.4,9.0
byetta,diabetes (type 2),7.9,81.0
ozempic,diabetes (type 2),5.6,551.0
glumetza,diabetes (type 2),9.5,4.0
liraglutide,diabetes (type 2),7.6,516.0
pioglitazone,diabetes (type 2),4.6,50.0
tradjenta,diabetes (type 2),3.1,60.0
bydureon,diabetes (type 2),6.4,265.0
humalog,diabetes (type 2),6.8,11.0
lantus solostar,diabetes (type 2),7.6,29.0
sitagliptin,diabetes (type 2),4.6,134.0
novolog,diabetes (type 2),4.9,15.0
glyburide,diabetes (type 2),7.2,9.0
metformin / sitagliptin,diabetes (type 2),6.0,73.0
onglyza,diabetes (type 2),5.9,15.0
riomet,diabetes (type 2),4.5,2.0
glipizide xl,diabetes (type 2),5.3,10.0
insulin glargine,diabetes (type 2),4.6,181.0
novolog flexpen,diabetes (type 2),9.7,3.0
prandin,diabetes (type 2),8.0,7.0
tresiba,diabetes (type 2),4.3,62.0
canagliflozin,diabetes (type 2),5.9,265.0
chromium picolinate,diabetes (type 2),9.0,14.0
empagliflozin,diabetes (type 2),5.3,290.0
exenatide,diabetes (type 2),6.4,406.0
humulin r,diabetes (type 2),9.0,1.0
repaglinide,diabetes (type 2),7.6,11.0
acarbose,diabetes (type 2),4.5,2.0
alogliptin,diabetes (type 2),3.4,8.0
avandia,diabetes (type 2),4.3,8.0
basaglar,diabetes (type 2),2.8,85.0
glimepiride / pioglitazone,diabetes (type 2),5.5,2.0
glucotrol xl,diabetes (type 2),-1.0,0.0
glyburide / metformin,diabetes (type 2),4.3,5.0
humalog kwikpen,diabetes (type 2),3.5,16.0
humulin n,diabetes (type 2),9.0,2.0
kombiglyze xr,diabetes (type 2),4.7,16.0
linagliptin,diabetes (type 2),3.6,66.0
toujeo solostar,diabetes (type 2),4.8,28.0
welchol,diabetes (type 2),4.0,4.0
xigduo xr,diabetes (type 2),7.3,16.0
adlyxin,diabetes (type 2),-1.0,0.0
admelog,diabetes (type 2),3.0,4.0
apidra,diabetes (type 2),6.0,3.0
bromocriptine,diabetes (type 2),-1.0,0.0
colesevelam,diabetes (type 2),4.8,5.0
cycloset,diabetes (type 2),-1.0,0.0
dapagliflozin / metformin,diabetes (type 2),7.3,16.0
diabeta,diabetes (type 2),-1.0,0.0
empagliflozin / metformin,diabetes (type 2),6.0,35.0
glipizide / metformin,diabetes (type 2),3.5,2.0
glucovance,diabetes (type 2),8.0,2.0
glycron,diabetes (type 2),-1.0,0.0
glynase,diabetes (type 2),-1.0,0.0
glyset,diabetes (type 2),10.0,1.0
humulin 70/30,diabetes (type 2),6.0,1.0
insulin regular,diabetes (type 2),6.8,12.0
janumet xr,diabetes (type 2),7.0,2.0
jentadueto,diabetes (type 2),6.0,16.0
lixisenatide,diabetes (type 2),-1.0,0.0
metformin / pioglitazone,diabetes (type 2),7.2,6.0
metformin / saxagliptin,diabetes (type 2),4.7,16.0
miglitol,diabetes (type 2),10.0,1.0
nesina,diabetes (type 2),3.0,4.0
novolin 70/30,diabetes (type 2),7.7,3.0
novolin n,diabetes (type 2),7.8,6.0
novolin r,diabetes (type 2),9.0,3.0
pramlintide,diabetes (type 2),9.0,1.0
saxagliptin,diabetes (type 2),6.0,16.0
synjardy,diabetes (type 2),6.6,23.0
toujeo max solostar,diabetes (type 2),-1.0,0.0
xultophy,diabetes (type 2),9.3,3.0
actoplus met,diabetes (type 2),7.2,6.0
afrezza,diabetes (type 2),3.7,13.0
albiglutide,diabetes (type 2),4.6,11.0
alogliptin / metformin,diabetes (type 2),1.0,1.0
alogliptin / pioglitazone,diabetes (type 2),1.0,2.0
bydureon bcise,diabetes (type 2),4.0,53.0
canagliflozin / metformin,diabetes (type 2),5.0,3.0
cr-gtf,diabetes (type 2),-1.0,0.0
crm,diabetes (type 2),-1.0,0.0
dapagliflozin / saxagliptin,diabetes (type 2),-1.0,0.0
duetact,diabetes (type 2),-1.0,0.0
empagliflozin / linagliptin / metformin,diabetes (type 2),-1.0,0.0
empagliflozin / linagliptin,diabetes (type 2),6.5,22.0
ertugliflozin / metformin,diabetes (type 2),-1.0,0.0
ertugliflozin / sitagliptin,diabetes (type 2),9.0,1.0
ertugliflozin,diabetes (type 2),5.5,12.0
fiasp,diabetes (type 2),-1.0,0.0
glynase prestab,diabetes (type 2),-1.0,0.0
glyxambi,diabetes (type 2),6.5,22.0
humalog mix 50/50,diabetes (type 2),-1.0,0.0
humalog mix 50/50 kwikpen,diabetes (type 2),-1.0,0.0
humalog mix 75/25,diabetes (type 2),10.0,1.0
humalog mix 75/25 kwikpen,diabetes (type 2),-1.0,0.0
humulin 50/50,diabetes (type 2),-1.0,0.0
humulin 70/30 pen,diabetes (type 2),-1.0,0.0
humulin n pen,diabetes (type 2),6.0,1.0
humulin r u-500 (concentrated),diabetes (type 2),5.0,4.0
humulin r u-500 kwikpen,diabetes (type 2),7.0,3.0
insulin degludec / liraglutide,diabetes (type 2),9.3,3.0
insulin degludec,diabetes (type 2),4.3,63.0
insulin glulisine,diabetes (type 2),7.8,5.0
"insulin inhalation, rapid acting",diabetes (type 2),5.1,16.0
insulin isophane / insulin regular,diabetes (type 2),7.3,4.0
insulin isophane,diabetes (type 2),7.3,10.0
insulin lispro/insulin lispro protamine,diabetes (type 2),7.5,2.0
invokamet,diabetes (type 2),2.5,2.0
invokamet xr,diabetes (type 2),10.0,1.0
jentadueto xr,diabetes (type 2),9.0,2.0
kazano,diabetes (type 2),1.0,1.0
linagliptin / metformin,diabetes (type 2),6.4,18.0
myxredlin,diabetes (type 2),-1.0,0.0
nateglinide,diabetes (type 2),4.0,4.0
novolog mix 70/30,diabetes (type 2),10.0,1.0
novolog mix 70/30 flexpen,diabetes (type 2),0.0,1.0
novolog penfill,diabetes (type 2),-1.0,0.0
oseni,diabetes (type 2),1.0,2.0
qtern,diabetes (type 2),-1.0,0.0
relion/novolin 70/30,diabetes (type 2),-1.0,0.0
rezvoglar,diabetes (type 2),-1.0,0.0
rosiglitazone,diabetes (type 2),4.3,8.0
segluromet,diabetes (type 2),-1.0,0.0
semglee,diabetes (type 2),5.0,5.0
starlix,diabetes (type 2),0.0,1.0
steglatro,diabetes (type 2),6.0,10.0
steglujan,diabetes (type 2),9.0,1.0
symlin,diabetes (type 2),9.0,1.0
symlin pen,diabetes (type 2),-1.0,0.0
symlinpen 60,diabetes (type 2),-1.0,0.0
symlinpen 120,diabetes (type 2),-1.0,0.0
synjardy xr,diabetes (type 2),5.1,10.0
tanzeum,diabetes (type 2),4.6,11.0
tirzepatide,diabetes (type 2),5.6,43.0
trijardy xr,diabetes (type 2),-1.0,0.0
loperamide,diarrhea,8.1,33.0
lomotil,diarrhea,7.9,45.0
imodium,diarrhea,6.8,8.0
atropine / diphenoxylate,diarrhea,8.0,62.0
imodium a-d,diarrhea,7.8,8.0
anti-diarrheal,diarrhea,10.0,2.0
pepto-bismol,diarrhea,9.3,7.0
florastor,diarrhea,6.6,13.0
codeine,diarrhea,9.1,12.0
bismuth subsalicylate,diarrhea,9.4,8.0
diamode,diarrhea,-1.0,0.0
kaopectate,diarrhea,-1.0,0.0
rifaximin,diarrhea,8.2,6.0
up and up anti-diarrheal solution,diarrhea,-1.0,0.0
neomycin,diarrhea,1.0,1.0
saccharomyces boulardii lyo,diarrhea,6.3,22.0
bismatrol,diarrhea,-1.0,0.0
opium,diarrhea,9.6,28.0
octreotide,diarrhea,7.5,2.0
bismarex,diarrhea,-1.0,0.0
bismatrol maximum strength,diarrhea,-1.0,0.0
crofelemer,diarrhea,10.0,1.0
florastor kids,diarrhea,1.0,1.0
mytesi,diarrhea,-1.0,0.0
pedialyte,diarrhea,1.0,1.0
peptic relief,diarrhea,-1.0,0.0
pink bismuth,diarrhea,-1.0,0.0
saccharomyces boulardii+mos,diarrhea,9.0,1.0
soothe caplets,diarrhea,-1.0,0.0
atropine / difenoxin,diarrhea,-1.0,0.0
ceralyte,diarrhea,-1.0,0.0
electrolyte replacement solutions,diarrhea,2.0,4.0
enfalyte,diarrhea,-1.0,0.0
equalyte,diarrhea,-1.0,0.0
medi-lyte,diarrhea,-1.0,0.0
motofen,diarrhea,-1.0,0.0
oralyte,diarrhea,-1.0,0.0
rehydralyte,diarrhea,-1.0,0.0
revital,diarrhea,3.0,2.0
triamcinolone,eczema,6.8,19.0
mometasone,eczema,9.0,47.0
dupixent,eczema,6.6,178.0
hydrocortisone,eczema,8.9,12.0
methotrexate,eczema,8.5,6.0
clobetasol,eczema,4.4,6.0
dupilumab,eczema,6.6,186.0
elidel,eczema,7.4,46.0
fluocinonide,eczema,8.7,8.0
desonide,eczema,9.1,20.0
prednisone,eczema,7.5,37.0
elocon,eczema,9.0,36.0
desoximetasone,eczema,8.3,10.0
pimecrolimus,eczema,7.4,49.0
cortizone-10,eczema,9.3,3.0
dexamethasone,eczema,10.0,6.0
halobetasol,eczema,8.4,8.0
kenalog,eczema,6.0,2.0
topicort,eczema,8.0,2.0
fluocinolone,eczema,9.0,1.0
dexamethasone intensol,eczema,-1.0,0.0
fluocinolone,eczema,-1.0,0.0
fluticasone,eczema,-1.0,0.0
alclometasone,eczema,-1.0,0.0
azathioprine,eczema,9.0,1.0
cloderm,eczema,10.0,2.0
cutivate,eczema,-1.0,0.0
cyclosporine,eczema,8.0,6.0
dermotic oil,eczema,-1.0,0.0
locoid lipocream,eczema,8.0,2.0
aristocort a,eczema,-1.0,0.0
aristocort r,eczema,-1.0,0.0
beser,eczema,-1.0,0.0
beta hc,eczema,-1.0,0.0
cinolar,eczema,-1.0,0.0
cordran tape,eczema,10.0,3.0
de-sone la,eczema,-1.0,0.0
dermacinrx trizapak,eczema,-1.0,0.0
dermasorb ta,eczema,-1.0,0.0
desowen,eczema,9.8,5.0
dxevo,eczema,-1.0,0.0
flurandrenolide,eczema,10.0,3.0
halog,eczema,8.0,1.0
hidex,eczema,-1.0,0.0
juulissa pharmapak,eczema,-1.0,0.0
locoid,eczema,-1.0,0.0
oralone,eczema,-1.0,0.0
silalite pak,eczema,-1.0,0.0
treziopak,eczema,-1.0,0.0
trianex,eczema,-1.0,0.0
triderm,eczema,-1.0,0.0
tritocin,eczema,-1.0,0.0
ultravate,eczema,9.5,4.0
ala-cort,eczema,-1.0,0.0
ala-scalp,eczema,-1.0,0.0
ala-scalp hp,eczema,-1.0,0.0
amcinonide,eczema,-1.0,0.0
apexicon e,eczema,-1.0,0.0
aquanil hc,eczema,-1.0,0.0
aquax-h,eczema,-1.0,0.0
caldecort,eczema,-1.0,0.0
clioquinol / hydrocortisone,eczema,-1.0,0.0
clobex,eczema,10.0,2.0
clocortolone,eczema,10.0,3.0
cordran,eczema,-1.0,0.0
cortizone-5,eczema,-1.0,0.0
derma-smoothe / fs (scalp),eczema,-1.0,0.0
dermarest plus anti-itch,eczema,-1.0,0.0
dermovate,eczema,-1.0,0.0
dermtex hc,eczema,-1.0,0.0
desonate,eczema,6.0,2.0
doxepin,eczema,-1.0,0.0
fluocinonide-e,eczema,-1.0,0.0
hydrocortisone / iodoquinol,eczema,-1.0,0.0
itch-x lotion,eczema,-1.0,0.0
nucort,eczema,-1.0,0.0
pandel,eczema,-1.0,0.0
prudoxin,eczema,-1.0,0.0
sarnol-hc,eczema,-1.0,0.0
temovate,eczema,1.0,1.0
texacort,eczema,-1.0,0.0
u-cort,eczema,-1.0,0.0
vanos,eczema,-1.0,0.0
verdeso,eczema,9.5,2.0
zonalon,eczema,-1.0,0.0
ala-quin,eczema,-1.0,0.0
alcortin a,eczema,-1.0,0.0
aloe polysaccharides / iodoquinol,eczema,-1.0,0.0
aloe vera / hydrocortisone / iodoquinol,eczema,-1.0,0.0
aloquin,eczema,-1.0,0.0
ammonium lactate / halobetasol,eczema,-1.0,0.0
ammonium lactate/urea,eczema,-1.0,0.0
apexicon,eczema,-1.0,0.0
capex,eczema,-1.0,0.0
carb-o-lac5,eczema,-1.0,0.0
carb-o-lac hp,eczema,-1.0,0.0
clobevate,eczema,-1.0,0.0
clodan,eczema,-1.0,0.0
cordran sp,eczema,-1.0,0.0
cormax,eczema,-1.0,0.0
cormax scalp,eczema,-1.0,0.0
corti-sav,eczema,-1.0,0.0
cyclocort,eczema,-1.0,0.0
derma-smoothe / fs,eczema,-1.0,0.0
derma-smoothe / fs (body oil),eczema,-1.0,0.0
dermatop,eczema,9.5,2.0
dermazene,eczema,-1.0,0.0
desrx,eczema,-1.0,0.0
diflorasone,eczema,9.5,2.0
embeline,eczema,-1.0,0.0
embeline e,eczema,-1.0,0.0
flac,eczema,-1.0,0.0
halcinonide,eczema,9.0,2.0
halonate,eczema,-1.0,0.0
kerasal ultra 20,eczema,-1.0,0.0
lokara,eczema,-1.0,0.0
nolix,eczema,-1.0,0.0
olux,eczema,-1.0,0.0
olux-e,eczema,-1.0,0.0
prednicarbate,eczema,9.5,2.0
quinja,eczema,-1.0,0.0
r a acne,eczema,-1.0,0.0
resinol,eczema,-1.0,0.0
resorcinol,eczema,-1.0,0.0
synalar,eczema,-1.0,0.0
synalar ointment,eczema,-1.0,0.0
tovet,eczema,-1.0,0.0
ultralytic,eczema,-1.0,0.0
ultralytic 2,eczema,-1.0,0.0
vytone,eczema,-1.0,0.0
cialis,erectile dysfunction,8.6,448.0
sildenafil,erectile dysfunction,8.2,423.0
viagra,erectile dysfunction,8.5,227.0
tadalafil,erectile dysfunction,8.4,601.0
caverject impulse,erectile dysfunction,9.5,9.0
staxyn,erectile dysfunction,8.7,24.0
vardenafil,erectile dysfunction,8.0,170.0
alprostadil,erectile dysfunction,7.1,174.0
edex,erectile dysfunction,7.6,47.0
stendra,erectile dysfunction,5.6,60.0
caverject,erectile dysfunction,6.7,23.0
muse,erectile dysfunction,5.3,55.0
avanafil,erectile dysfunction,5.7,62.0
entereg,gastrointestinal,-1.0,0.0
lidocaine viscous,gastrointestinal,-1.0,0.0
alvimopan,gastrointestinal,-1.0,0.0
lidocaine,gastrointestinal,-1.0,0.0
glydo,gastrointestinal,-1.0,0.0
xylocaine jelly,gastrointestinal,-1.0,0.0
lta ii kit,gastrointestinal,-1.0,0.0
omeprazole,gerd (heartburn),4.7,257.0
pantoprazole,gerd (heartburn),4.6,254.0
nexium,gerd (heartburn),5.5,154.0
famotidine,gerd (heartburn),3.7,93.0
protonix,gerd (heartburn),6.5,50.0
prilosec,gerd (heartburn),6.7,37.0
dexilant,gerd (heartburn),6.2,162.0
aciphex,gerd (heartburn),9.3,36.0
prilosec otc,gerd (heartburn),8.5,14.0
esomeprazole,gerd (heartburn),5.5,186.0
lansoprazole,gerd (heartburn),6.5,95.0
prevacid,gerd (heartburn),7.8,44.0
pepcid,gerd (heartburn),6.8,4.0
rabeprazole,gerd (heartburn),8.1,52.0
sucralfate,gerd (heartburn),6.3,86.0
pepcid ac,gerd (heartburn),-1.0,0.0
carafate,gerd (heartburn),6.1,24.0
nexium 24hr,gerd (heartburn),9.7,4.0
protonix iv,gerd (heartburn),9.0,1.0
acid controller maximum strength,gerd (heartburn),-1.0,0.0
acid controller original strength,gerd (heartburn),-1.0,0.0
acid reducer maximum strength,gerd (heartburn),-1.0,0.0
cimetidine,gerd (heartburn),7.5,8.0
dexlansoprazole,gerd (heartburn),6.4,194.0
heartburn relief,gerd (heartburn),-1.0,0.0
heartburn relief maximum strength,gerd (heartburn),-1.0,0.0
metoclopramide,gerd (heartburn),4.1,41.0
omeprazole / sodium bicarbonate,gerd (heartburn),8.2,27.0
pepcid ac chewable tablets,gerd (heartburn),10.0,1.0
pepcid oral suspension,gerd (heartburn),-1.0,0.0
mylanta,gerd (heartburn),10.0,1.0
reglan,gerd (heartburn),4.1,22.0
zegerid,gerd (heartburn),8.3,19.0
calcium carbonate,gerd (heartburn),4.0,6.0
magnesium oxide,gerd (heartburn),-1.0,0.0
nexium iv,gerd (heartburn),8.0,1.0
nizatidine,gerd (heartburn),8.6,8.0
aluminum hydroxide / magnesium hydroxide / simethicone,gerd (heartburn),9.7,3.0
bethanechol,gerd (heartburn),5.5,2.0
calci-chew,gerd (heartburn),-1.0,0.0
mag-oxide,gerd (heartburn),-1.0,0.0
pepcid complete,gerd (heartburn),5.5,2.0
phillips' cramp-free,gerd (heartburn),-1.0,0.0
prevacid otc,gerd (heartburn),8.0,1.0
prevacid solutab,gerd (heartburn),6.7,3.0
tagamet hb,gerd (heartburn),10.0,2.0
titralac,gerd (heartburn),-1.0,0.0
tums regular strength,gerd (heartburn),1.0,1.0
tums smoothies,gerd (heartburn),-1.0,0.0
uro-mag,gerd (heartburn),-1.0,0.0
zegerid otc,gerd (heartburn),8.0,5.0
aciphex sprinkle,gerd (heartburn),-1.0,0.0
alamag,gerd (heartburn),-1.0,0.0
alka-seltzer heartburn + gas,gerd (heartburn),10.0,1.0
almacone,gerd (heartburn),-1.0,0.0
aluminum hydroxide / magnesium carbonate,gerd (heartburn),-1.0,0.0
aluminum hydroxide / magnesium hydroxide,gerd (heartburn),8.0,1.0
aluminum hydroxide,gerd (heartburn),-1.0,0.0
amphojel,gerd (heartburn),-1.0,0.0
axid ar,gerd (heartburn),10.0,2.0
belladonna,gerd (heartburn),-1.0,0.0
calcium carbonate / famotidine / magnesium hydroxide,gerd (heartburn),5.5,2.0
calcium carbonate / magnesium hydroxide / simethicone,gerd (heartburn),-1.0,0.0
calcium carbonate / simethicone,gerd (heartburn),10.0,5.0
di-gel,gerd (heartburn),-1.0,0.0
dual action complete,gerd (heartburn),-1.0,0.0
duo fusion,gerd (heartburn),-1.0,0.0
gas-x with maalox extra strength,gerd (heartburn),-1.0,0.0
gelusil,gerd (heartburn),9.0,1.0
mi-acid,gerd (heartburn),-1.0,0.0
milantex,gerd (heartburn),-1.0,0.0
mintox,gerd (heartburn),-1.0,0.0
mintox plus,gerd (heartburn),-1.0,0.0
mylanta coat & cool,gerd (heartburn),-1.0,0.0
mylanta maximum strength,gerd (heartburn),10.0,1.0
mylanta tonight,gerd (heartburn),-1.0,0.0
rulox,gerd (heartburn),-1.0,0.0
sodium citrate,gerd (heartburn),-1.0,0.0
tricitrasol,gerd (heartburn),-1.0,0.0
tums chewy bites with gas relief (lemon & strawberry),gerd (heartburn),-1.0,0.0
zegerid with magnesium hydroxide,gerd (heartburn),-1.0,0.0
allopurinol,gout,7.4,77.0
uloric,gout,8.1,46.0
zyloprim,gout,9.0,1.0
aloprim,gout,9.5,2.0
febuxostat,gout,8.1,61.0
krystexxa,gout,8.4,10.0
probenecid,gout,9.7,6.0
pegloticase,gout,8.0,13.0
rilonacept,gout,-1.0,0.0
spironolactone,hair loss,6.9,63.0
minoxidil,hair loss,5.3,140.0
azulfidine,hair loss,-1.0,0.0
sulfasalazine,hair loss,-1.0,0.0
olumiant,hair loss,-1.0,0.0
aldactone,hair loss,4.0,4.0
rogaine,hair loss,4.6,40.0
kenalog-10,hair loss,8.8,13.0
triamcinolone,hair loss,8.7,15.0
aristospan,hair loss,-1.0,0.0
rogaine men's extra strength,hair loss,3.7,4.0
rogaine women's,hair loss,8.3,6.0
hair regrowth treatment for women,hair loss,-1.0,0.0
kenalog-40,hair loss,-1.0,0.0
hair regrowth treatment for men,hair loss,1.0,1.0
azulfidine en-tabs,hair loss,-1.0,0.0
baricitinib,hair loss,-1.0,0.0
zyrtec,hayfever,5.2,133.0
cetirizine,hayfever,5.4,196.0
fluticasone,hayfever,4.5,157.0
loratadine,hayfever,4.7,88.0
flonase,hayfever,4.5,100.0
allegra,hayfever,5.9,61.0
montelukast,hayfever,5.0,204.0
claritin,hayfever,3.5,40.0
singulair,hayfever,6.0,87.0
fexofenadine,hayfever,5.6,108.0
astelin,hayfever,8.9,20.0
azelastine,hayfever,6.8,155.0
benadryl,hayfever,6.9,12.0
xyzal,hayfever,6.0,54.0
prednisone,hayfever,2.0,2.0
allegra allergy,hayfever,1.8,8.0
astepro,hayfever,7.7,21.0
diphenhydramine,hayfever,6.8,20.0
flonase allergy relief,hayfever,1.0,2.0
levocetirizine,hayfever,6.1,61.0
dymista,hayfever,5.7,135.0
medrol,hayfever,1.0,1.0
clarinex,hayfever,6.8,4.0
nasacort allergy 24hr,hayfever,7.5,13.0
aller-tec,hayfever,10.0,1.0
chlorpheniramine,hayfever,9.0,21.0
desloratadine,hayfever,4.9,27.0
mometasone,hayfever,5.8,64.0
phenergan,hayfever,5.0,3.0
triamcinolone,hayfever,5.8,93.0
alavert,hayfever,9.5,2.0
allegra-d 12 hour,hayfever,8.6,11.0
allegra-d 24 hour,hayfever,6.0,31.0
allergy relief tablets,hayfever,-1.0,0.0
benadryl allergy,hayfever,6.0,5.0
budesonide,hayfever,8.3,14.0
claritin reditabs,hayfever,-1.0,0.0
dexamethasone,hayfever,4.0,3.0
flonase sensimist,hayfever,2.5,8.0
methylprednisolone dose pack,hayfever,8.0,2.0
methylprednisolone,hayfever,5.1,28.0
promethazine,hayfever,6.3,4.0
zyrtec-d,hayfever,9.7,3.0
all day allergy,hayfever,9.0,1.0
all day allergy children's,hayfever,-1.0,0.0
allegra odt,hayfever,10.0,1.0
aller-tec children's,hayfever,-1.0,0.0
allergy relief 24 hour,hayfever,-1.0,0.0
antinaus 50,hayfever,-1.0,0.0
beclomethasone,hayfever,7.5,30.0
cetirizine / pseudoephedrine,hayfever,9.4,5.0
children's claritin allergy,hayfever,8.3,3.0
claritin-d,hayfever,3.7,21.0
claritin-d 24 hour,hayfever,4.7,6.0
clinacort,hayfever,-1.0,0.0
cyproheptadine,hayfever,10.0,1.0
de-sone la,hayfever,-1.0,0.0
depo-medrol,hayfever,-1.0,0.0
dexamethasone intensol,hayfever,-1.0,0.0
dxevo,hayfever,-1.0,0.0
flunisolide,hayfever,8.7,3.0
hidex,hayfever,-1.0,0.0
kenalog-40,hayfever,7.3,11.0
loratadine-d 24 hour,hayfever,-1.0,0.0
medrol dosepak,hayfever,4.5,4.0
ohm allergy relief,hayfever,-1.0,0.0
omnaris,hayfever,6.1,16.0
patanase,hayfever,8.2,11.0
phenadoz,hayfever,-1.0,0.0
promethegan,hayfever,-1.0,0.0
qnasl,hayfever,7.5,22.0
solu-medrol,hayfever,1.0,1.0
tavist nd,hayfever,-1.0,0.0
ticanase,hayfever,7.0,1.0
triamcinolone,hayfever,7.3,11.0
wal-itin,hayfever,6.0,2.0
zodex,hayfever,-1.0,0.0
zyrtec-d 12 hour,hayfever,10.0,1.0
acrivastine / pseudoephedrine,hayfever,10.0,10.0
aller-chlor,hayfever,-1.0,0.0
aller-ease,hayfever,-1.0,0.0
allergy relief,hayfever,-1.0,0.0
allermax,hayfever,-1.0,0.0
astepro allergy,hayfever,-1.0,0.0
azelastine / fluticasone,hayfever,5.7,137.0
banophen,hayfever,-1.0,0.0
beconase aq,hayfever,5.0,2.0
c.p.m.,hayfever,-1.0,0.0
chlo-amine,hayfever,-1.0,0.0
chlor-mal,hayfever,-1.0,0.0
chlor-trimeton,hayfever,9.2,9.0
chlorpheniramine / phenylephrine,hayfever,10.0,4.0
chlortan,hayfever,-1.0,0.0
claritin-d 12 hour,hayfever,1.7,3.0
complete allergy relief,hayfever,-1.0,0.0
dexbrompheniramine / pseudoephedrine,hayfever,9.9,19.0
dicopanol,hayfever,-1.0,0.0
diphedryl,hayfever,-1.0,0.0
diphen,hayfever,-1.0,0.0
dytuss,hayfever,-1.0,0.0
ed-chlortan,hayfever,-1.0,0.0
ed chlorped,hayfever,-1.0,0.0
ed chlor ped jr.,hayfever,-1.0,0.0
fexofenadine / pseudoephedrine,hayfever,6.6,56.0
loratadine / pseudoephedrine,hayfever,3.6,35.0
